"場次","日期","類型","客隊","主隊","客隊得分","主隊得分","場地","開始售票時間","開始比賽時間","比賽歷經時間","比賽狀態","備註","calendarEventId"
"184","07/05","例行賽","富邦悍將","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","17:05","2h","","",""
"185","07/05","例行賽","中信兄弟","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","17:05","2h","","",""
"186","07/05","例行賽","統一獅","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","17:05","2h","","",""
"187","07/06","例行賽","富邦悍將","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","14:05","2h","","",""
"188","07/06","例行賽","中信兄弟","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","14:05","2h","","",""
"189","07/06","例行賽","統一獅","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","14:05","2h","","",""
"190","07/08","例行賽","統一獅","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"191","07/08","例行賽","味全龍","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"192","07/09","例行賽","統一獅","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"193","07/09","例行賽","味全龍","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"194","07/09","例行賽","樂天桃猿","台鋼雄鷹","","","嘉義市KANO棒球場, 600台灣嘉義市東區山仔頂249-1號","","18:35","2h","","",""
"195","07/10","例行賽","樂天桃猿","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"196","07/11","例行賽","味全龍","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"197","07/11","例行賽","樂天桃猿","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"198","07/11","例行賽","台鋼雄鷹","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"199","07/12","例行賽","味全龍","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","17:05","2h","","",""
"200","07/12","例行賽","樂天桃猿","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","17:05","2h","","",""
"201","07/12","例行賽","台鋼雄鷹","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","17:05","2h","","",""
"202","07/13","例行賽","味全龍","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","14:05","2h","","",""
"203","07/13","例行賽","樂天桃猿","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","14:05","2h","","",""
"204","07/13","例行賽","台鋼雄鷹","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","14:05","2h","","",""
"205","07/15","例行賽","台鋼雄鷹","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"206","07/15","例行賽","中信兄弟","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"207","07/16","例行賽","台鋼雄鷹","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"208","07/16","例行賽","中信兄弟","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"209","07/16","例行賽","富邦悍將","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"210","07/17","例行賽","富邦悍將","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"AS001","07/19","明星賽","明星白","明星紅","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"AS002","07/20","明星賽","明星白","明星紅","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
